Course Code,Course Name,Course Description,Hub Units,Prerequisites,Credits,link
COM CM 723,Advanced Communication Research,"Provides skill training for data analysis with SPSS (Statistical Package for Social Sciences). Students will obtain hands-on experience by carrying out actual analyses using real data acquired via different research methods. Techniques covered include correlation, regression, t-test, ANOVA, and factor analysis. Students also learn how to translate the results of their analyses into data-driven narratives that provide actionable solutions to problem cases.",None,COM CM 722.,4,https://www.bu.edu//academics/com/courses/com-cm-723/
COM CM 724,Sampling Design and Measurement Techniques,"Discusses various issues related to sampling, such as design, sample size, methods of selection, sampling error, and sampling sources for applied research projects. Also teaches about the various types of questionnaires and measurement procedures commonly used in communication research, including those used for assessing such factors as attitudes, beliefs, media use, and consumer behavior. 2nd sem.",None,Consent of Instructor,4,https://www.bu.edu//academics/com/courses/com-cm-724/
COM CM 726,Strategic Brand Solutions,"Explores the impact of current advertising/marketing issues through the lens of  strategic branding and brand building best practices from business, economic,  political, social, legal, and ethical perspectives. Modified case method looking  at real world solutions, with lectures from experts on selected issues.",None,COM CM 708.,4,https://www.bu.edu//academics/com/courses/com-cm-726/
COM CM 730,Marketing Communication,"Addresses basic marketing and promotion principles used to increase awareness of and change in attitudes and buyer behavior about products, services, and organizations. Students learn to evaluate appropriate promotional mixes, examine the role of communication, and develop marketing communication strategies through the use of case studies and classroom discussion. 1st sem.",None,None,4,https://www.bu.edu//academics/com/courses/com-cm-730/
COM CM 739,Social Media Strategy,"Students will utilize social media analytics software as the basis for assessing  and developing strategies to elevate the social media presence of brands,  products, organizations, and campaigns. Students will learn how to collect  social media data, convert data for analysis, and apply cutting edge AI tools  such as topic analysis and sentiment analysis across an array of platforms. This  class prepares students to navigate the contemporary social media landscape.",None,COM CM 722.,4,https://www.bu.edu//academics/com/courses/com-cm-739/
COM CM 742,Strategic Media Relations and Management,"This advanced course explores the role and practice of media relations in an  integrated media landscape (PESO) to create an authentic and unified  organizational narrative. Students learn the strategic and proactive approach to  gaining third-party credibility among journalists, influencers, targeted  audiences, and stakeholders. Topics include research & media  planning/evaluation, relationship building, content development & engagement,  spokesperson role & training, proactive and reactive media counseling, and  leveraging innovative media strategies. This course involves lectures, reading assignments, writing projects, case studies, and real-world simulations to  create an interactive and engaging learning environment.",None,CM701 AND CM707 OR CM703,4,https://www.bu.edu//academics/com/courses/com-cm-742/
COM CM 743,New Media & Public Relations,"Explores the effects of new media on the fundamental theories, models, and practices of public relations.  Studies how websites, blogs, citizen journalism, social media, direct-to-consumer communication, podcasting, viral marketing, and other technology-enabled changes are affecting interpersonal, small group, and mass media relationships.  Also covers and uses the interactive tools that are re-defining the practice of public relations.  The course combines lecture, discussion, guest speakers, case study, and research to help students uncover and appreciate the power and potential of interactive media. ",None,COM CM 701.,4,https://www.bu.edu//academics/com/courses/com-cm-743/
COM CM 750,Advanced Writing for Media Professionals,"Building on writing skills and formats presented in CM703 or CM707, students   work individually and in-depth on challenging writing assignments:  essay   analyses/critiques (drawn from The Best American Essays series); a Q & A   interview; and a website, which includes a wide variety of writing formats  and  critical thinking --this major individual project provides students with  a  substantial portfolio showcase. Several collaborative workshops complete  the  course requirements.",None,CM703 or CM707,4,https://www.bu.edu//academics/com/courses/com-cm-750/
COM CM 753,Portfolio Development I,"Course is for graduate students who intend to work in the creative area of the advertising industry. Focus is on the principles needed to understand, conceptualize, and create an entry-level portfolio of work (print, video, digital, mobile, experiential). A workshop-like environment, mirroring an advertising agency, is augmented with lectures and case studies. ",None,COM CM 708 and COM CM 717.,4,https://www.bu.edu//academics/com/courses/com-cm-753/
COM CM 754,Portfolio Development II,"A continuation of Portfolio Development I, this course continues the iterative process required to construct a competitive advertising portfolio. Students work to refine concepts, revise and strengthen the impact of the art direction and copywriting, and determine how the work should ultimately be displayed. ",None,COM CM 708 ; COM CM 717 ; COM CM 753.,4,https://www.bu.edu//academics/com/courses/com-cm-754/
COM CM 809,Graduate Internship,"Students are placed in public relations, advertising,  or communication  departments of business, educational, philanthropic, or governmental institutions.  Fifteen hours per week of supervised work. Students with a comprehensive report  evaluating internship experience at end of semester. 2 or 4 cr.",None,one  semesters of graduate study.,Var,https://www.bu.edu//academics/com/courses/com-cm-809/
COM CM 824,Technical Writing for Communication Research,"Teaches students to develop clear and concise research proposals and write detailed research reports incorporating appropriate methodological sequences, techniques, and strategies. Teaches students to interpret the results of quantitative analyses in a layperson's terms and relate their implications to a client, as well as to analyze the standards and pricing structure of competing agencies and available subcontractors in a given market. 1st sem.",None,COM CM 722 ; COM CM 723 ; COM CM 724.,4,https://www.bu.edu//academics/com/courses/com-cm-824/
COM CM 831,International Communication,"Factors of international communication; cultural, economic, political, and social influences. Role of communication media in effecting social change in a wide variety of countries. 1st sem.",None,None,4,https://www.bu.edu//academics/com/courses/com-cm-831/
COM CM 901,Directed Studies,"Supervised reading, fieldwork, or research for student's specific needs. 2 or 4 cr.",None,"Consent of advisor and instructor. Supervised reading, fieldwork, or research for student's specific needs.",Var,https://www.bu.edu//academics/com/courses/com-cm-901/
COM CM 909,Thesis or Project Research,Course credits slated for students writing a thesis.,None,consent of instructor,4,https://www.bu.edu//academics/com/courses/com-cm-909/
